Date,Article,Detail,Ref,Qty/Pk,Price,Qty,Stock,Staff
30/05/2018 8:12,NEOFYLIN SYRUP,CASH,313,1,300,-1,18PCS,peter
30/05/2018 8:19,D-KOFF SYRUP,CASH,314,1,400,-1,6PCS,peter
30/05/2018 8:19,EMVIT C SYRUP,CASH,314,1,250,-1,58PCS,peter
30/05/2018 8:19,ACCURATE PT STRIP X1,CASH,314,1,50,-4,78PCS,peter
30/05/2018 8:44,EMTRIM SYRUP,CASH,315,1,250,-1,16PCS,bello
30/05/2018 8:45,BLOOD BAG,CASH,317,1,500,-1,-1PCS,peter
30/05/2018 8:48,MARC-OLIVIA CIPROFLOXACIN 500MG,CASH,316,1,400,-1,62PCS,bello
30/05/2018 8:48,LUMARTEM TABLET X24,CASH,316,1,500,-1,12PCS,bello
30/05/2018 8:50,PANADOL TABLET (ORDINARY),CASH,318,1,130,-2,112PCS,bello
30/05/2018 8:51,BLOOD SUGAR TEST,CASH,319,1,500,-1,-36PCS,peter
30/05/2018 8:51,REALS  NIGHT  AID  TAB.,CASH,319,1,250,-1,29PCS,peter
30/05/2018 8:53,BLOOD SUGAR TEST,CASH,321,1,500,-1,-37PCS,peter
30/05/2018 8:54,BLOOD BAG,CASH,i317,0,500,1,0PCS,peter
30/05/2018 8:56,ROBB  BOTLE,CASH,320,1,200,-1,16PCS,bello
30/05/2018 8:59,ANTALLERGE  EYE  DROP.,CASH,322,1,600,-1,39PCS,pharmacist
30/05/2018 8:59,YEAST TAB  BY X100,CASH,322,1,250,-1,43PCS,pharmacist
30/05/2018 8:59,CLOFENAC TABLET(50MG),CASH,322,1,150,-1,63PCS,pharmacist
30/05/2018 9:03,EBU 200,CASH,323,1,100,-1,15PCS,bello
30/05/2018 9:03,EBU 200,CASH,324,1,100,-1,14PCS,bello
30/05/2018 9:06,TETRACYCLINE CAPSULE,CASH,325,1,80,-1,131PCS,bello
30/05/2018 9:06,BABYREX TEETHING MIXTURE,CASH,325,1,250,-1,-13PCS,bello
30/05/2018 9:17,CANULA (YELLOW),CASH,326,1,100,-1,57PCS,peter
